Welcome.started,Welcome.stopped,welcomeKey.keys,welcomeKey.rt,welcomeKey.duration,workerId,mturkLink,date,expName,psychopyVersion,OS,frameRate,Globals.started,Globals.stopped,SessionIntro.started,SessionIntro.stopped,sessKey.keys,sessKey.rt,sessKey.duration,TrialIntro.started,TrialIntro.stopped,trialKey.keys,trialKey.rt,trialKey.duration,Frame.started,Frame.stopped,resp.keys,frames.thisRepN,frames.thisTrialN,frames.thisN,frames.thisIndex,frames.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,session,stim1,stim2,stim3,stim4,stim5,stim6,act2,act3,act4,act5,act6,resp.rt,resp.duration,ITI.started,ITI.stopped,itiKey.keys,itiKey.rt,itiKey.duration,Thanks.started,Thanks.stopped,thanksKey.keys,thanksKey.rt,thanksKey.duration
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,42.373,44.8715,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,44.8719,47.3724,,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,47.3735,49.8725,x,3,0,3,0,1,,,,,,,,,,,,,,,,,,1.8553,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,49.8731,52.3717,x,4,0,4,0,1,,,,,,,,,,,,,,,,,,1.3669,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,52.3722,54.8726,x,5,0,5,0,1,,,,,,,,,,,,,,,,,,0.2538,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,images/Variation03_20110128/_10_rx-36.758_ry-32.007_rz-19.386_tx-00.167_ty+00.258_s+00.846_ad5af65c248155ad753a599fe6a934b7938df4f1_256x256.png,images/gray_background.png,images/Variation00_20110203/cruiser_rx+00.000_ry+90.000_rz+00.000_tx+00.000_ty+00.000_s+01.200_2b6cecbb41225444591d526c630a14f55242b461_256x256.png,images/Variation06_20110131/Beetle_rx+77.560_ry-25.624_rz+00.533_tx-00.298_ty-00.400_s+01.460_649b6644656e7d09ae5432a3b8f9430063931aa6_256x256.png,images/gray_background.png,images/Variation06_20110131/cruiser_rx-59.848_ry+91.070_rz-14.708_tx-00.382_ty+00.326_s+01.422_00b9334afb5268a64ab035fcbe0b4f85fa929564_256x256.png,b,b,none,b,x,,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,54.8731,54.8731,,,,54.8732,74.8384,return,19.9481,,74.8391,77.339,x,0,0,0,0,1,,,,,,,,,,,,,,,,,,0.858,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,77.3401,79.8384,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,79.8388,82.3385,x,2,0,2,0,1,,,,,,,,,,,,,,,,,,1.0347,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,82.3406,84.838,,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,84.8388,87.3389,b,4,0,4,0,1,,,,,,,,,,,,,,,,,,0.2641,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,87.3398,89.8381,,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,1,images/Variation03_20110128/_014_rx+09.895_ry+15.820_rz-27.045_tx+00.031_ty-00.303_s+00.673_0d944a5c935dbb8a926303060563f571bd96d13d_256x256.png,images/gray_background.png,images/Variation06_20110131/ELEPHANT_M_rx+65.120_ry+88.545_rz-57.932_tx-00.179_ty-00.506_s+01.054_710930fa3b53c88079df00e51c2708cdaa36cab5_256x256.png,images/gray_background.png,images/Variation03_20110128/_001_rx+15.106_ry-29.240_rz+14.483_tx-00.274_ty+00.179_s+00.788_9ebe76d6e35a63bf87ce066fb6fe641974bb21cb_256x256.png,images/Variation06_20110131/Strawberry_obj_rx-62.259_ry-03.943_rz+65.040_tx+00.386_ty+00.820_s+00.768_838fc10ae4d5aecb22595ca7e1aba67fd0fd9c32_256x256.png,b,b,b,none,none,,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,89.8384,89.8384,,,,89.8384,107.2209,return,17.3749,,107.2237,109.7217,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,109.7224,112.221,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,112.2213,114.7205,,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,114.7208,117.2208,,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,117.2226,119.7099,,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,119.7116,122.2216,b,5,0,5,0,1,,,,,,,,,,,,,,,,,,0.6158,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,1,images/Variation06_20110131/sopwith_rx-53.821_ry-22.344_rz-74.777_tx-00.175_ty+00.882_s+01.441_c2c705881a93a33765d92968d97c9c850b65b09d_256x256.png,images/gray_background.png,images/Variation03_20110128/_11_rx-11.954_ry+12.711_rz-35.079_tx+00.095_ty-00.582_s+00.671_cbbea4e7cc7440c695858aebb0fa8a9415f44541_256x256.png,images/gray_background.png,images/Variation06_20110131/sopwith_rx-53.821_ry-22.344_rz-74.777_tx-00.175_ty+00.882_s+01.441_c2c705881a93a33765d92968d97c9c850b65b09d_256x256.png,images/Variation03_20110128/_11_rx-11.954_ry+12.711_rz-35.079_tx+00.095_ty-00.582_s+00.671_cbbea4e7cc7440c695858aebb0fa8a9415f44541_256x256.png,b,b,b,x,x,,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,122.224,122.2247,,,,122.2248,123.0712,return,0.8386,,123.0753,125.5714,b,0,0,0,0,1,,,,,,,,,,,,,,,,,,0.1995,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,125.5722,128.0706,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,128.0746,130.5705,,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,130.5709,133.0705,,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,133.071,161.9559,,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,161.9603,161.9627,,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,,,,,,,,,0,4,4,4,1,1,images/Variation03_20110128/face0002_rx-20.717_ry+19.720_rz+20.452_tx+00.249_ty-00.030_s+00.958_165f420ecce2594b1d48540404bb8afd05074667_256x256.png,images/gray_background.png,images/Variation00_20110203/watermelon_obj_rx-90.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_acb18d33e8a8fce3b2a1ec37b5906673e08d6a26_256x256.png,images/gray_background.png,images/Variation06_20110131/_18_rx-73.254_ry+29.318_rz-67.769_tx+00.129_ty+00.397_s+00.616_284cc8ef4e15393ab4f661f8f31d7bcbc909bb18_256x256.png,images/Variation00_20110203/f16_rx+00.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+01.300_935c06cee1b2005301b2d61abbacb7f71739221e_256x256.png,b,b,b,none,none,,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,161.9634,161.9637,,,,161.9637,162.8702,return,0.8263,,162.8709,165.372,x,0,0,0,0,1,,,,,,,,,,,,,,,,,,0.1982,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,165.3751,167.8699,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,167.8703,170.3702,,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,170.3709,179.2864,,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,179.2869,179.2871,,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,179.2873,179.2875,,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,,,,,,,,,0,5,5,5,1,1,images/Variation03_20110128/GORILLA_rx-22.441_ry-28.817_rz+38.184_tx+00.194_ty+00.397_s+00.638_477674f59a30d02366d0838fbaedbefbfcc44264_256x256.png,images/Variation03_20110128/MQUEEN_L_rx-23.942_ry-44.556_rz-43.989_tx+00.270_ty-00.114_s+01.497_41c152a34df114d531f527d456ee2e3076fbe058_256x256.png,images/gray_background.png,images/Variation06_20110131/_031_rx-87.243_ry-56.428_rz-38.987_tx-00.255_ty+00.540_s+00.943_4850d4321c26797dcbc9785beedfa01d46dc7cc6_256x256.png,images/gray_background.png,images/Variation03_20110128/MQUEEN_L_rx-29.272_ry-33.980_rz+35.749_tx+00.177_ty-00.315_s+01.552_8a3d9b3bf408c5a9369502586672f79e4cc3bb85_256x256.png,b,b,none,b,x,,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.288,181.0209,return,1.6975,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0224,184.1866,return,3.1204,
