session,stim1,stim2,stim3,act3
1,images/Variation03_20110128/38_rx-03.172_ry+18.082_rz+11.946_tx-00.258_ty-00.381_s+00.832_0c04a361705461916339257186311d8be9c7ba46_256x256.png,images/Variation06_20110131/05_future_rx+42.186_ry+46.683_rz+144.362_tx+00.225_ty+00.897_s+01.050_1dc24c43530afa3ca21470b68a79bdb784fcf61f_256x256.png,images/Variation06_20110131/blCow_rx-87.223_ry+31.170_rz+03.214_tx+00.542_ty+01.060_s+00.508_461e80d4a5c38f19d7c2c2b0e2976b0308d68203_256x256.png,x
1,images/Variation03_20110128/blCow_rx+19.838_ry-15.230_rz-28.661_tx+00.169_ty+00.417_s+00.686_36ad8befabc96d72768a99f3148b0961d73a313a_256x256.png,images/Variation03_20110128/Beetle_rx-06.302_ry-39.833_rz+22.244_tx-00.197_ty-00.042_s+01.234_f144e3aabccefb4228b8257506a2aa26ba5b4a6d_256x256.png,images/Variation06_20110131/031_rx+40.141_ry-76.791_rz+54.422_tx-00.070_ty-00.025_s+01.012_6d4edcf292c1a9122661f1979806bff6e61ea996_256x256.png,x
1,images/Variation06_20110131/Beetle_rx+18.468_ry+13.861_rz-00.641_tx-00.246_ty-01.038_s+01.448_62383a2a8a133772768b927cc6e31c796b5f2b21_256x256.png,images/Variation06_20110131/Pear_obj_rx-12.499_ry-33.133_rz+89.770_tx+00.314_ty+00.683_s+00.913_b9a8e415a2428e218a82032831d261df4dbef35d_256x256.png,images/Variation06_20110131/Pear_obj_rx-10.436_ry-35.276_rz+24.876_tx+00.339_ty-00.654_s+00.923_de16f946170424a46e578e311568760a184450ab_256x256.png,b
1,images/Variation06_20110131/05_future_rx-76.786_ry+152.115_rz+113.510_tx-00.452_ty+00.219_s+01.990_a38f7efa470fafdf195bf2b215b97bfddfb4cdc6_256x256.png,images/Variation03_20110128/01_Airliner_2jetEngines_rx+09.575_ry+87.212_rz+54.229_tx-00.277_ty-00.488_s+01.446_e2434f44be808df37a645952d707bafec43e1385_256x256.png,images/Variation06_20110131/support_rx+41.369_ry+131.615_rz-71.490_tx+00.598_ty-00.950_s+01.874_64d1db24ae2fc94ac26101da6bb89e6b7ca7c05d_256x256.png,b
1,images/Variation03_20110128/GORILLA_rx-16.470_ry-31.203_rz+22.955_tx-00.120_ty+00.252_s+00.896_3349857dbefd9f4194c68810f7b588194d093ce9_256x256.png,images/Variation03_20110128/astra_rx-06.800_ry-11.674_rz-08.848_tx-00.204_ty-00.022_s+01.207_a17beb47186d13aa2191f43e4da68649eebeeba3_256x256.png,images/Variation06_20110131/011_rx-86.937_ry-32.869_rz+70.373_tx-00.429_ty+00.255_s+00.492_b90b0d95ce4488673ecc01645a329d4040eafc8b_256x256.png,x
1,images/Variation06_20110131/031_rx+84.149_ry+34.221_rz+36.853_tx-00.424_ty-00.634_s+01.030_0d944a5c935dbb8a926303060563f571bd96d13d_256x256.png,images/Variation00_20110203/10_rx+00.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_dad2b3a55bd2db206d63baf22ed9b7ca359c7761_256x256.png,images/Variation06_20110131/astra_rx-77.418_ry-08.359_rz+07.507_tx-00.278_ty+01.137_s+00.759_3eaa6f1fe020d5828184bcb88839891548d39c65_256x256.png,b
1,images/Variation03_20110128/38_rx-03.172_ry+18.082_rz+11.946_tx-00.258_ty-00.381_s+00.832_0c04a361705461916339257186311d8be9c7ba46_256x256.png,images/Variation00_20110203/support_rx+00.000_ry+90.000_rz+00.000_tx+00.000_ty+00.000_s+01.200_333ffaa8f1ed166ae3423fec9eae3d1a3a1af56f_256x256.png,images/Variation03_20110128/face0001_rx-08.819_ry+25.594_rz+08.279_tx-00.049_ty+00.046_s+00.984_6e02cf3db148d784bca3052ce2ed8b55aebd052a_256x256.png,x
1,images/Variation03_20110128/astra_rx-06.800_ry-11.674_rz-08.848_tx-00.204_ty-00.022_s+01.207_a17beb47186d13aa2191f43e4da68649eebeeba3_256x256.png,images/Variation06_20110131/face0004_rx-34.062_ry-21.869_rz-17.746_tx+00.313_ty+01.064_s+01.110_d433bb0fa708ba13434b409b50afc77dc4802fb8_256x256.png,images/Variation06_20110131/Pear_obj_rx-12.499_ry-33.133_rz+89.770_tx+00.314_ty+00.683_s+00.913_b9a8e415a2428e218a82032831d261df4dbef35d_256x256.png,x
1,images/Variation03_20110128/support_rx-32.213_ry+63.576_rz-05.364_tx-00.100_ty+00.410_s+01.398_29bbc94867083f413e41225ebaa879b9cda7bafb_256x256.png,images/Variation03_20110128/05_future_rx+16.463_ry+102.069_rz+49.889_tx-00.166_ty-00.316_s+01.397_ba1bd5019208455f5d4a651fca3db3c6987ee6fa_256x256.png,images/Variation00_20110203/10_rx+00.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_dad2b3a55bd2db206d63baf22ed9b7ca359c7761_256x256.png,x
1,images/Variation03_20110128/walnut_obj_rx-114.147_ry+11.222_rz-02.442_tx-00.138_ty-00.433_s+00.539_90f43e6676c08b5ee4d1aeefc18ab7aabb6a2281_256x256.png,images/Variation03_20110128/face0001_rx+25.294_ry-44.732_rz+27.472_tx-00.179_ty+00.516_s+00.781_6098192529b27e355fca53d7dba1a69803a30773_256x256.png,images/Variation06_20110131/face0004_rx+71.823_ry+17.369_rz+34.907_tx-00.166_ty-01.129_s+00.947_62f41cb308b6d5a23b5f36825cf2d20ec123d649_256x256.png,b
1,images/Variation03_20110128/05_future_rx+16.463_ry+102.069_rz+49.889_tx-00.166_ty-00.316_s+01.397_ba1bd5019208455f5d4a651fca3db3c6987ee6fa_256x256.png,images/Variation03_20110128/01_Airliner_2jetEngines_rx-09.588_ry+86.219_rz+117.995_tx-00.137_ty+00.551_s+01.150_4c625a9945aaf9ce5d9ae7f90688c9979b1e42b6_256x256.png,images/Variation03_20110128/face0001_rx+25.294_ry-44.732_rz+27.472_tx-00.179_ty+00.516_s+00.781_6098192529b27e355fca53d7dba1a69803a30773_256x256.png,b
1,images/Variation03_20110128/support_rx-32.213_ry+63.576_rz-05.364_tx-00.100_ty+00.410_s+01.398_29bbc94867083f413e41225ebaa879b9cda7bafb_256x256.png,images/Variation06_20110131/10_rx-66.689_ry-48.817_rz+00.642_tx-00.289_ty+01.069_s+00.592_e538f8965d92b00222516d74e25b63d6c9ff56a1_256x256.png,images/Variation06_20110131/face0004_rx+13.892_ry-56.355_rz-33.547_tx-00.354_ty+00.980_s+00.942_c6294dfba6fa1f8ef93d0a55a9c690bf387bed38_256x256.png,x
1,images/Variation06_20110131/011_rx+40.531_ry-15.208_rz+40.407_tx+00.466_ty+00.870_s+00.798_783887c1bcb3cad36484715c2472689cc8939597_256x256.png,images/Variation03_20110128/astra_rx-28.646_ry-02.606_rz+05.609_tx+00.042_ty-00.388_s+01.088_34eb36940d320c8e4b3d446bc366dc4620058c2a_256x256.png,images/Variation03_20110128/Pear_obj_rx-96.296_ry+35.040_rz-43.470_tx+00.159_ty+00.274_s+00.724_5391973e069d6b6102856534f4d74a3b24536b43_256x256.png,x
1,images/Variation06_20110131/astra_rx+21.437_ry+87.130_rz+11.805_tx-00.421_ty-01.149_s+01.008_b9add36dd5768d3d585186712eb74782f31a3d78_256x256.png,images/Variation06_20110131/05_future_rx+70.542_ry+138.504_rz+105.988_tx+00.126_ty+00.657_s+01.560_ce56947cdc2d9a42e498addc1c5930506d1d7dab_256x256.png,images/Variation06_20110131/Pear_obj_rx-81.964_ry+16.581_rz+33.477_tx+00.054_ty+00.865_s+01.022_33898a7755705e482be4a27de9ec351f473e0798_256x256.png,x
1,images/Variation06_20110131/blCow_rx+21.968_ry-55.778_rz-13.963_tx-00.314_ty-00.510_s+00.815_1771a8b56b4b063bb8ff256f9d7adc870348cca4_256x256.png,images/Variation03_20110128/face0001_rx+25.294_ry-44.732_rz+27.472_tx-00.179_ty+00.516_s+00.781_6098192529b27e355fca53d7dba1a69803a30773_256x256.png,images/Variation03_20110128/031_rx-11.571_ry+12.575_rz+35.910_tx+00.038_ty+00.452_s+00.666_3ae0cba4a53088c32be968960a80062d47231b45_256x256.png,x
1,images/Variation06_20110131/05_future_rx+70.542_ry+138.504_rz+105.988_tx+00.126_ty+00.657_s+01.560_ce56947cdc2d9a42e498addc1c5930506d1d7dab_256x256.png,images/Variation03_20110128/05_future_rx+16.463_ry+102.069_rz+49.889_tx-00.166_ty-00.316_s+01.397_ba1bd5019208455f5d4a651fca3db3c6987ee6fa_256x256.png,images/Variation06_20110131/05_future_rx-60.543_ry+62.709_rz+17.709_tx+00.504_ty-01.029_s+01.348_1f00bdd9e2d0caefc99716330feb8c7d750fcaa9_256x256.png,x
1,images/Variation06_20110131/Beetle_rx+66.691_ry+02.215_rz-70.438_tx+00.137_ty+00.981_s+01.323_53991aafc814d9db3b4bb72b1127a00dd068c54c_256x256.png,images/Variation06_20110131/Beetle_rx-75.319_ry-16.455_rz-33.697_tx+00.436_ty-00.557_s+01.491_63e0c27781e439aed5c9d74a6b82b73a16164055_256x256.png,images/Variation03_20110128/Beetle_rx-06.302_ry-39.833_rz+22.244_tx-00.197_ty-00.042_s+01.234_f144e3aabccefb4228b8257506a2aa26ba5b4a6d_256x256.png,x
1,images/Variation06_20110131/10_rx+48.667_ry-35.959_rz-64.416_tx-00.264_ty-01.095_s+00.911_314ca82cab5c62871f06597cb1974f044479064d_256x256.png,images/Variation03_20110128/38_rx-15.128_ry+43.251_rz-34.460_tx+00.285_ty+00.152_s+00.871_fa1c4ed63b1b49e9aa5e2d82aaf289b4f05c0ae8_256x256.png,images/Variation03_20110128/38_rx-02.830_ry+39.717_rz+22.827_tx-00.018_ty-00.169_s+00.847_b1188ce0d9f37b1f937e9ba24ab75ff26101052f_256x256.png,x
