stim1,stim2,same_category,same_obj,same_pos,stim1_category,stim2_category,stim1_obj,stim2_obj,stim1_pos,stim2_pos,stim1_fp,stim2_fp
33,28,1,1,0,3,3,1,1,7,5,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/Beetle_rx-75.319_ry-16.455_rz-33.697_tx+00.436_ty-00.557_s+01.491_63e0c27781e439aed5c9d74a6b82b73a16164055_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/Beetle_rx-06.302_ry-39.833_rz+22.244_tx-00.197_ty-00.042_s+01.234_f144e3aabccefb4228b8257506a2aa26ba5b4a6d_256x256.png
28,40,0,0,1,3,4,1,7,5,5,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/Beetle_rx-06.302_ry-39.833_rz+22.244_tx-00.197_ty-00.042_s+01.234_f144e3aabccefb4228b8257506a2aa26ba5b4a6d_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/031_rx+40.141_ry-76.791_rz+54.422_tx-00.070_ty-00.025_s+01.012_6d4edcf292c1a9122661f1979806bff6e61ea996_256x256.png
20,88,0,0,0,2,8,8,2,8,5,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/support_rx+00.103_ry+113.298_rz-54.263_tx+00.165_ty-00.906_s+01.008_d9b32bf07c4609b4acb9696ec80bf7257b428c6b_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation00_20110203/10_rx+00.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_dad2b3a55bd2db206d63baf22ed9b7ca359c7761_256x256.png
88,34,0,0,1,8,3,2,3,5,5,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation00_20110203/10_rx+00.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_dad2b3a55bd2db206d63baf22ed9b7ca359c7761_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/astra_rx-28.646_ry-02.606_rz+05.609_tx+00.042_ty-00.388_s+01.088_34eb36940d320c8e4b3d446bc366dc4620058c2a_256x256.png
34,70,0,0,1,3,6,3,4,5,5,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/astra_rx-28.646_ry-02.606_rz+05.609_tx+00.042_ty-00.388_s+01.088_34eb36940d320c8e4b3d446bc366dc4620058c2a_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/Pear_obj_rx-96.296_ry+35.040_rz-43.470_tx+00.159_ty+00.274_s+00.724_5391973e069d6b6102856534f4d74a3b24536b43_256x256.png
70,76,0,0,1,6,7,4,2,5,5,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/Pear_obj_rx-96.296_ry+35.040_rz-43.470_tx+00.159_ty+00.274_s+00.724_5391973e069d6b6102856534f4d74a3b24536b43_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/05_future_rx+16.463_ry+102.069_rz+49.889_tx-00.166_ty-00.316_s+01.397_ba1bd5019208455f5d4a651fca3db3c6987ee6fa_256x256.png
76,82,1,0,1,7,7,2,1,5,5,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/05_future_rx+16.463_ry+102.069_rz+49.889_tx-00.166_ty-00.316_s+01.397_ba1bd5019208455f5d4a651fca3db3c6987ee6fa_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/01_Airliner_2jetEngines_rx-71.417_ry+163.668_rz+177.944_tx+00.079_ty+00.202_s+01.071_7621f9c4bf13db6a09363239b8d1ef5828368bc4_256x256.png
97,98,1,1,0,8,8,7,7,1,8,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/38_rx-24.783_ry-73.540_rz+10.878_tx+00.360_ty+00.501_s+00.854_cd8cb8b852666f43863735bc47fe44d580d0ed8d_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/38_rx-37.125_ry-41.816_rz+11.940_tx-00.094_ty-00.502_s+00.621_3b9b91683804878c97728c1323e3f9efb13a83ef_256x256.png
98,25,0,0,1,8,2,7,2,8,8,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/38_rx-37.125_ry-41.816_rz+11.940_tx-00.094_ty-00.502_s+00.621_3b9b91683804878c97728c1323e3f9efb13a83ef_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/CGTG_L_rx+20.518_ry+36.224_rz+03.824_tx-00.160_ty-00.536_s+01.016_239eeb2c453058c64041976909d4d3b609d03685_256x256.png
25,23,1,1,0,2,2,2,2,8,6,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/CGTG_L_rx+20.518_ry+36.224_rz+03.824_tx-00.160_ty-00.536_s+01.016_239eeb2c453058c64041976909d4d3b609d03685_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/CGTG_L_rx-01.935_ry-75.930_rz-77.844_tx-00.370_ty+00.311_s+01.688_de7e13dfab41d7fec5558b2d1e3a4ec1a563f165_256x256.png
23,92,0,0,1,2,8,2,2,6,6,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/CGTG_L_rx-01.935_ry-75.930_rz-77.844_tx-00.370_ty+00.311_s+01.688_de7e13dfab41d7fec5558b2d1e3a4ec1a563f165_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/10_rx+89.780_ry-55.981_rz+85.872_tx-00.474_ty-00.214_s+00.816_6f12c08aa0182fb9ebf9f4a2cb5583dca052fb92_256x256.png
92,95,1,0,1,8,8,2,7,6,6,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/10_rx+89.780_ry-55.981_rz+85.872_tx-00.474_ty-00.214_s+00.816_6f12c08aa0182fb9ebf9f4a2cb5583dca052fb92_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/38_rx-03.172_ry+18.082_rz+11.946_tx-00.258_ty-00.381_s+00.832_0c04a361705461916339257186311d8be9c7ba46_256x256.png
4,78,0,0,0,1,7,2,2,8,9,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/GORILLA_rx+64.597_ry+70.016_rz+31.113_tx+00.071_ty-00.985_s+01.171_c460d2f97714ef9d00248a7717dc25e9372d8b47_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/05_future_rx-17.644_ry+173.884_rz+42.167_tx-00.571_ty-00.738_s+01.800_637c1479d888b313f3279241ed6a2f3c483402c9_256x256.png
78,76,1,1,0,7,7,2,2,9,5,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/05_future_rx-17.644_ry+173.884_rz+42.167_tx-00.571_ty-00.738_s+01.800_637c1479d888b313f3279241ed6a2f3c483402c9_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/05_future_rx+16.463_ry+102.069_rz+49.889_tx-00.166_ty-00.316_s+01.397_ba1bd5019208455f5d4a651fca3db3c6987ee6fa_256x256.png
76,88,0,0,1,7,8,2,2,5,5,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/05_future_rx+16.463_ry+102.069_rz+49.889_tx-00.166_ty-00.316_s+01.397_ba1bd5019208455f5d4a651fca3db3c6987ee6fa_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation00_20110203/10_rx+00.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_dad2b3a55bd2db206d63baf22ed9b7ca359c7761_256x256.png
88,64,0,0,1,8,6,2,7,5,5,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation00_20110203/10_rx+00.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_dad2b3a55bd2db206d63baf22ed9b7ca359c7761_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation00_20110203/walnut_obj_rx-90.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_5fd906758f13731a000a056260c0c6fed4ff3786_256x256.png
64,68,1,1,0,6,6,7,7,5,7,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation00_20110203/walnut_obj_rx-90.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_5fd906758f13731a000a056260c0c6fed4ff3786_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/walnut_obj_rx-33.785_ry-11.360_rz-87.699_tx+00.508_ty-00.512_s+00.479_a1708ff35fa965562f0002fa84426dba5c1c3daa_256x256.png
19,87,0,0,0,2,7,8,1,6,2,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/support_rx+21.772_ry+67.257_rz-42.693_tx-00.278_ty+00.310_s+01.416_cc4ffbc12a9cbb9b9e9d19dad11f57c9cbb7a595_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/01_Airliner_2jetEngines_rx-09.588_ry+86.219_rz+117.995_tx-00.137_ty+00.551_s+01.150_4c625a9945aaf9ce5d9ae7f90688c9979b1e42b6_256x256.png
87,61,0,0,1,7,5,1,1,2,2,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/01_Airliner_2jetEngines_rx-09.588_ry+86.219_rz+117.995_tx-00.137_ty+00.551_s+01.150_4c625a9945aaf9ce5d9ae7f90688c9979b1e42b6_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/face0001_rx+25.294_ry-44.732_rz+27.472_tx-00.179_ty+00.516_s+00.781_6098192529b27e355fca53d7dba1a69803a30773_256x256.png
61,53,1,0,0,5,5,1,4,2,8,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/face0001_rx+25.294_ry-44.732_rz+27.472_tx-00.179_ty+00.516_s+00.781_6098192529b27e355fca53d7dba1a69803a30773_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/face0004_rx+71.823_ry+17.369_rz+34.907_tx-00.166_ty-01.129_s+00.947_62f41cb308b6d5a23b5f36825cf2d20ec123d649_256x256.png
53,56,1,1,0,5,5,4,4,8,1,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/face0004_rx+71.823_ry+17.369_rz+34.907_tx-00.166_ty-01.129_s+00.947_62f41cb308b6d5a23b5f36825cf2d20ec123d649_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/face0004_rx-34.062_ry-21.869_rz-17.746_tx+00.313_ty+01.064_s+01.110_d433bb0fa708ba13434b409b50afc77dc4802fb8_256x256.png
56,72,0,0,1,5,6,4,4,1,1,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/face0004_rx-34.062_ry-21.869_rz-17.746_tx+00.313_ty+01.064_s+01.110_d433bb0fa708ba13434b409b50afc77dc4802fb8_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/Pear_obj_rx-12.499_ry-33.133_rz+89.770_tx+00.314_ty+00.683_s+00.913_b9a8e415a2428e218a82032831d261df4dbef35d_256x256.png
11,76,0,0,0,1,7,6,2,9,5,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/blCow_rx+21.968_ry-55.778_rz-13.963_tx-00.314_ty-00.510_s+00.815_1771a8b56b4b063bb8ff256f9d7adc870348cca4_256x256.png,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/05_future_rx+16.463_ry+102.069_rz+49.889_tx-00.166_ty-00.316_s+01.397_ba1bd5019208455f5d4a651fca3db3c6987ee6fa_256x256.png
